domain,construct,yrbs_q,yrbs_scale,mcs_var,mcs_scale,recon_type,recode_rule,keep_drop,rationale,status,age_transform,target_scale
Feature: Other drugs,Ever used other illegal drugs,Q49-Q55,7 separate drugs,FCOTDR00,1=Yes/2=No,6,TARGET=binary. YRBS: any of Q49-Q55 >0 -> 1 (aggregate union). MCS FCOTDR00 Yes->1. Caveat: MCS may under-capture Rx/inhalants,keep,MCS aggregate may under-capture (no Rx-pain/inhalant explicit). Document,decided,,binary (0/1)
Feature: Violence,Weapon carrying (NEW),Q12/Q13,days bands,FCKNIF00,1=Yes/2=No,3,TARGET=binary. MCS FCKNIF00 ever Yes->1. YRBS: (Q12 days>0 OR Q13 days>0)->1. Harmonise to ever-carried binary,keep,"NEW FEATURE - weapon carrying, not currently used. Clean match",decided,,binary (0/1)
Feature: Violence,Weapon used against CM (victim),Q15,times bands,FCVICC00,1=Yes/2=No,1,TARGET=binary. YRBS Q15 times>0->1. MCS FCVICC00 Yes->1,keep,Weapon victimisation; existing,decided,,binary (0/1)
Feature: Violence,Physical fight,Q16,times bands,FCHITT00 + FCWEPN00,1=Yes/2=No,6,TARGET=binary. MCS: (FCHITT00 OR FCWEPN00)=Yes ->1. YRBS Q16 times>0->1. Aggregated perpetration; bidirectional-vs-perpetration caveat,keep,AGGREGATED unarmed+armed perpetration (uses FCWEPN00 that would else drop). Perpetration-framing vs YRBS bidirectional,decided,,binary (0/1)
Feature: Bullying,Bullied at school,Q24,1=Yes/2=No,FCHURT00,1=Most days...6=Never (REVERSED: 1=HIGH risk),4,"FCHURT00 REVERSED: {1,2,3,4,5}->1, {6}(Never)->0. YRBS Q24 Yes->1. TARGET=binary. DO NOT process by raw code order",keep,"DIRECTION AUDIT CAUGHT: MCS FCHURT00 1=most-bullied(HIGH), 6=never(LOW) - REVERSED from natural assumption. Collapse to binary with 6->No. YRBS Q binary (native direction Negative)",decided,,binary (0/1)
Feature: Bullying,Cyberbullied victim,Q25,1=Yes/2=No,FCCYBU00,1=Most days...6=Never (REVERSED: 1=HIGH risk),4,"FCCYBU00 REVERSED: {1,2,3,4,5}(Most days..Less often)->1, {6}(Never)->0. YRBS Q25 Yes->1. TARGET=binary. DO NOT process by raw code order",keep,"DIRECTION AUDIT CAUGHT: MCS FCCYBU00 1=most-bullied(HIGH), 6=never(LOW) - REVERSED from natural assumption. Collapse to binary with 6->No. YRBS Q binary (native direction Negative)",decided,,binary (0/1)
Feature: Violence (YRBS-only),Unsafe at school,Q14,days,none,,8,,yrbs_only,MCS area-safety != school-avoidance,decided,,
Feature: Violence (YRBS-only),Witnessed neighbourhood violence,Q18,1=Yes/2=No,none,,8,,yrbs_only,No MCS witnessed-violence item,decided,,
Feature: Violence (YRBS-only),Dating sexual violence,Q21,times,none,,8,,yrbs_only,No MCS dating-violence,decided,,
Feature: Violence (YRBS-only),Dating physical violence,Q22,times,none,,8,,yrbs_only,No MCS dating-violence,decided,,
Feature: Violence (YRBS-only),Discrimination (race),Q23,freq,none,,8,,yrbs_only,No MCS unfair-treatment self-report,decided,,
DROP,Police stopped/arrested,none,,FCPOLS00/FCARES00/FCCAUT00,1=Yes/2=No,8,Keep in MCS-side data; EXCLUDE from transferable A.1 feature set (all-NaN on YRBS),mcs_only,"No YRBS counterpart so cannot TRANSFER, but strong ACE signal. Retain MCS-only for: (a) source-only model comparison, (b) documented limitation (harmonisation forgoes justice-involvement signal)",decided,,
DROP,Gang membership,none,,FCGANG00,1=Yes/2=No,8,,drop,No YRBS gang question,decided,,
Feature: Mental health,Depression (sad/hopeless),Q26,1=Yes/2=No,FCMDSA00-M (SMFQ 13-item),"1-3 each, sum 0-26",6,"Sum 13 SMFQ items (coded 1-3, range 13-39). Threshold ~>=21 (equiv conventional cut-8 on 0-2 coding) -> binary to match YRBS Q26. VERIFY on distribution",keep,94.2% coverage. Score 13-39 (items 1-3 coded NOT 0-2). Binary both sides. Threshold recalculated for 1-3 coding,decided,,binary (0/1) via SMFQ threshold
Feature: Mental health,SMFQ continuous score,Q26 (binary only),1=Yes/2=No,FCMDSA00-M sum,0-26,5,MCS continuous; YRBS can only give binary Q26,needs_review,MISMATCH: continuous MCS vs binary YRBS. Cannot transfer continuous score cleanly,needs_review,,
Feature: Suicidality,Suicidal ideation,Q27,1=Yes/2=No,VERIFY SOURCE,?,5,VERIFY: MCS S6 may lack clean ideation item,drop,CONFIRMED no MCS Sweep-6 source. DROPPED - do not proxy from SMFQ,decided,,
Feature: Suicidality,Self-harm (relabelled),Q29,times->binary,FCHARM00,1=Yes/2=No,5,TARGET=binary. MCS FCHARM00 Yes->1. YRBS Q29 attempts>0->1. CONSTRUCT caveat: self-harm(NSSI) vs attempt(intent),keep,13.9% rate. Confirmed SELF-HARM incl NSSI NOT attempt. Relabelled self_harm. Construct caveat vs YRBS Q29 documented,decided,,binary (0/1)
Feature: Mental health (redundant?),Mental health not good,Q84,freq 1-5,FCMDSA00-M (SMFQ),0-26,5,SMFQ severity -> Q84 freq proxy,drop,NOT ADOPTED. Overlapped Q26 and the question was whether to carry it as a separate feature; it was not. FEATURE_MAP carries h_depression (SMFQ) and h_self_harm and no Q84-derived feature. Recorded here so the contract states the answer rather than the question,decided,,
Feature: Suicidality (YRBS-only),Suicide plan,Q28,1=Yes/2=No,none,,8,,yrbs_only,No MCS suicide-plan item,decided,,
Feature: Suicidality (YRBS-only),Injurious suicide attempt,Q30,1=Yes/2=No,none,,8,,yrbs_only,No MCS injurious-attempt detail,decided,,
Feature: Sexual behaviour,Recent intercourse and condom use,Q59 + Q61,Q59 1=never had intercourse; 2=had but not in past 3 months; 3-8=one to six-or-more partners in past 3 months. Q61 1=never had intercourse; 2=condom used; 3=not used,FCSEXX00 + FCCONP0A,FCSEXX00 -9/-8/-1 missing codes; 1=Yes; 2=No (last 12 months). FCCONP0A -9/-8/-1 missing codes; 1=used a condom; 2=used another form of contraceptive; 3=used none,6,"TARGET=3-level h_recent_sex_condom_status with levels no_recent_intercourse (reference), recent_no_condom, recent_condom. MCS reads BOTH variables RAW, before missing-code cleaning: FCSEXX00=2 -> no_recent_intercourse; FCSEXX00=1 AND FCCONP0A in {2,3} -> recent_no_condom; FCSEXX00=1 AND FCCONP0A=1 -> recent_condom; every other combination, including -1, -8, -9 and system missing, stays missing. FCSEXX00=-1 is NOT read as no recent intercourse because it combines structural routing with administration-mode skipping. YRBS: Q59 in {1,2} -> no_recent_intercourse; Q59 in {3,4,5,6,7,8} AND Q61=3 -> recent_no_condom; Q59 in {3,4,5,6,7,8} AND Q61=2 -> recent_condom; every other combination, including missing, CDC-blanked and contradictory values, stays missing. The active-and-answered combination is CDC's own QN61 denominator. Both Q59 and Q61 are required and their absence is an error",keep,"MCS distinguished intercourse in the previous 12 months, while YRBS Q59 used the previous three months. MCS availability additionally depended on self-completion and preceding contact routing. Only explicit, internally consistent states were coded; administrative, non-response and indeterminate cases remained missing. Enters the model schema as two indicators against no_recent_intercourse, never as a 0/1/2 scale. Sources: 2023 YRBS Data Users Guide pp.41-42 and p.9 (edit rules); UKDS SN 8156 Sweep 6 dictionary FCSEXX00 and FCCONP0A; MCS6 Young Person Questionnaire pp.38-41",decided,,3-level nominal (reference no_recent_intercourse)
Feature: Sexual behaviour,Contraception at last intercourse,Q61,1=never had sexual intercourse; 2=Yes; 3=No,FCCONP0A,-1=not applicable; -8=don't know; -9=don't want to answer; 1=used a condom; 2=used another form of contraceptive; 3=did not use any contraception,5,,drop,"No sufficiently comparable retained predictor. MCS condom-use availability depended on self-completion mode, preceding routing questions and reported intercourse within the previous 12 months; YRBS Q61 directly recorded condom use at last intercourse without an equivalent reference-period or administration restriction. MCS route (Young Person Questionnaire p.41): the Relationships section {WRRY to CONP} was not asked when interviewer-administered; SEXX was asked only where TCHP or TCOP recorded fondling; CONP was asked only where SEXX recorded intercourse in the previous 12 months. MCS -1 is therefore an administrative not-asked state with several causes rather than a report of no intercourse, whereas YRBS code 1 is an explicit self-report. Not retained as a predictor of its own. The condom information both cohorts do carry is instead one arm of the combined three-level predictor recorded on the Recent intercourse and condom use row, where it is conditioned on recent intercourse rather than standing alone. Sources: 2023 YRBS Data Users Guide p.42; UKDS SN 8156 Sweep 6 dictionary FCCONP0A; MCS6 Young Person Questionnaire p.41",decided,,
Attribute: fairness only,Sexual orientation,Q64,identity 5-cat,FCROMG00+FCROMB00,2x binary attraction,5,"TARGET=binary. MCS: (FCROMG00 OR FCROMB00 same-sex attraction)->1. YRBS Q64: gay/lesbian/bi->1, hetero->0. Attraction-vs-identity caveat. FAIRNESS ONLY",attribute_fairness,EXCLUDE as predictor (Config 4). RETAIN for fairness/subgroup analysis - sexual-minority youth have elevated ACE exposure; check equitable transfer across orientation,decided,,binary any-same-sex (0/1)
Feature: Sexual (YRBS-only),Age first intercourse,Q57,age bands,none,,8,,yrbs_only,MCS no age-first-sex,decided,,
Feature: Sexual (YRBS-only),Number of partners,Q58/Q59,count,none,,8,,yrbs_only,MCS no partner count,decided,,
Feature: Sexual (YRBS-only),Substance before sex,Q60,1=Yes/2=No,none,,8,,yrbs_only,No MCS match,decided,,
Feature: Sexual (YRBS-only),Sexual contact (whom),Q63,categorical,none,,8,,yrbs_only,MCS attraction != partner-sex,decided,,
Feature: Sexual (YRBS-only),Transgender identity,Q65,categorical,none,,8,,yrbs_only,No MCS gender-identity item at S6,decided,,
mcs_only: Sexual,Sexual contact ladder,none,,FCORAL00/FCTUCH00/FCTCHP00/FCTCOP00,1=Yes/2=No,8,,mcs_only,Graduated contact; no YRBS equiv. Retain MCS-only (poss. sexual-abuse ACE context),decided,,
Feature: Diet,Breakfast days,Q75,0-7 days,FCBRKN00,1-3 (never/some/every),3,"Bin YRBS 8-level -> MCS 3-level (0=never, 1-6=some, 7=every)",keep,Cleanest diet match; both measure breakfast days,decided,,3-level (never/some/every)
Feature: Diet,Sugary drinks,Q74,1-7 freq,FCSWTD00,1=most...7=never (REVERSED vs YRBS),4,"FLIP MCS direction (MCS 1=most/7=never vs YRBS 1=none/7=most) THEN map to common coarse scale: none-rare / weekly / daily / multi-daily. MCS resolves low end, YRBS high end - collapse asymmetric bands",keep,"CAUGHT: scales REVERSED (MCS 1=heavy, YRBS 1=none) + asymmetric granularity (MCS mixes days/week & per-day & monthly; YRBS times). MVPA-pattern bug avoided. Also MCS broader (squash) vs YRBS soda-only",decided,,common 4-level (flip MCS)
Feature: Diet,Fruit intake,Q69,1-7 times,FCFRUT00,1-3 threshold-days,5,Collapse both to low/med/high ordinal,keep,"97pct coverage, real spread (9/61/31). Construct gap but NOT sparse. KEEP into build; drop later only if importance ~0",decided,,3-level ordinal
Feature: Diet,Vegetable intake,Q70-Q73,4x 1-7 times,FCVEGI00,1-3 threshold-days,6,"CANNOT sum raw codes (ordinal bands). Convert each Q70-73 code to est times/week [1->0, 2->2, 3->5, 4->7, 5->14, 6->21, 7->28], SUM the 4, then collapse to 3-level. NOTE residual construct mismatch remains",keep,"97pct coverage, real spread (8/55/37). Construct gap but not sparse. KEEP; test importance",decided,,3-level ordinal
Feature: Diet (YRBS-only),Fruit juice,Q68,1-7 times,none,,8,,yrbs_only,MCS no separate 100pct juice item,decided,,
mcs_only: Diet,Fast food/bread/milk type,none,,FCTKWY00/FCBRED00/FCMILK00,various,8,,mcs_only,No YRBS equiv; low ACE-relevance. Retain mcs_only or drop for parsimony,decided,,
Feature: Physical activity,MVPA days,Q76,1=0d...8=7d (fwd),FCPHEX00,1=every day...5=not at all (REVERSED),4,FLIP MCS (1=most active) to match YRBS (1=least) THEN rescale 5-band<->8-band,keep,CONFIRMED REVERSED (the MVPA bug). Flip + granularity. This is the crosswalk error caught earlier,decided,,common ordinal (flip MCS)
Feature: Sleep,Sleep duration,Q85,1=<=4hr...7=10+hr,FCSLWK00 + FCWUWK00,5-band bedtime + 5-band waketime,6,"Bedtime midpoints {1:20.5,2:21.5,3:22.5,4:23.5,5:24.5}h; Wake midpoints {1:5.5,2:6.5,3:7.5,4:8.5,5:9.5}h; duration=wake-bedtime(+24 if cross-midnight); bin to Q85: <=4->1,5->2,6->3,7->4,8->5,9->6,10+->7",keep,96.6pct coverage; derived median 9.0h (5-13h sane). KEEP as derived; document band error + mode diff,decided,,7-level hours (derived)
DROP/YRBS-empty,Sleep onset time (bedtime),none,,FCSLWK00,5-band,8,Used to derive Q85; standalone has no YRBS equiv,drop,YRBS has no bedtime Q. Current all-NaN feature. Keep only for duration derivation,decided,,
DROP/YRBS-empty,Wake time,none,,FCWUWK00,5-band,8,Used to derive Q85; standalone no YRBS equiv,drop,YRBS no wake-time Q. Current all-NaN feature,decided,,
Feature: Activity (YRBS-only),PE class days,Q77,0-7 days,none,,8,,yrbs_only,MCS no school-PE item,decided,,
Feature: Activity (YRBS-only),Sports teams,Q78,count,none,,8,,yrbs_only,MCS no team-participation item,decided,,
Feature: Activity (YRBS-only),Concussion,Q79,times,none,,8,,yrbs_only,MCS no sports-concussion item,decided,,
mcs_only: Sleep,Sleep quality (latency/waking),none,,FCSLLN00/FCSLTR00,5-6 band,8,,mcs_only,YRBS no sleep-quality Q. ACE-relevant; retain mcs_only or drop,decided,,
DROP: Injuries,Accidental injuries,Q79 (concussion only),,FPACCA00/FPACWT0*,parent-report,7,,drop,ASSESSED: MCS=parent-reported generic accidental injury (falls/burns/bites/asthma); YRBS only has sports-concussion(Q79). Informant + construct mismatch. Not ACE-signal (accidental). Excluded,decided,,
Feature: Weight/body,Weight perception,Q66,1-5 (under->over),FCWEGT00,~4 level (under->over),3,"Align 4<->5 level, same direction; YRBS very/slightly underweight merged to match MCS's single underweight level",keep,Clean: self-perception (NOT measured BMI). Legit body feature,decided,,aligned ordinal
Feature: Weight/body,Weight management (lose),Q67,categorical goal,FCETLS00,1=Yes/2=No,5,MCS ever-ate-less-to-lose -> maps to YRBS Q67=trying to lose,drop,42.4% but weak construct (1 arm of YRBS 4-cat) + disordered-eating-adjacent. DROPPED,decided,,
Feature: Healthcare,Social media use,Q80,freq,FCSOME00,1-8 hrs/wk,2,Align frequency; both none->lots direction,keep,FCSOME00 (social) not FCTVHO(TV)/FCINTH(internet),decided,,ordinal aligned
Feature: Healthcare,Dentist visit past 12mo,Q83,"A=<12mo,B=12-24mo,C=>24mo,D=never,E=notsure",FCDENY00,1=Yes/2=No,3,YRBS A->yes(1); B/C/D->no(0); E->missing. Matches CDC QN83 dichotomisation & MCS FCDENY00 12mo window,keep,"Clean 12mo-window match. Name h_dentist_visit_past_12mo (not vague ""last visit"")",decided,,binary (0/1)
Feature: HC (YRBS-only),HIV test,Q81,1=Yes/2=No,none,,8,,yrbs_only,MCS no HIV-test item,decided,,
Feature: HC (YRBS-only),STI test,Q82,1=Yes/2=No,none,,8,,yrbs_only,MCS no STI-test item,decided,,
Feature: HC (YRBS-only),Sleep location (homelessness),Q86,categorical,none,,8,,yrbs_only,MCS no where-slept item; housing is tenure not homelessness,decided,,
Feature: Weight/body,Weight status for age (IOTF),Q6/Q7 (+Q1/Q2),height+weight+age+sex (compute),FCOBFLG6,"0=not-overweight,1=overweight,2=obese (IOTF, age-sex standardised)",6,"MCS: use FCOBFLG6 directly (0/1/2). YRBS: BMI from Q7/Q6 (convert lb/in->kg/m), apply IOTF age-sex cut-offs (Cole 2000/2012, SAME reference as MCS) -> 0/1/2. Age confound removed by standardisation",keep,"MCS FCOBFLG6 ready (73/19/7). Compute IOTF on YRBS from Q6/Q7/Q1/Q2 (Cole, MATCH ref). bmipct(CDC)=sensitivity only. Test importance",decided,HANDLED by IOTF age-sex standardisation (percentile relative to same-age peers),3-cat (0/1/2)
mcs_only: Body,Body image / toothbrushing,none,,FCWYLK00/FCBRSH00,various,8,,mcs_only,No YRBS equiv (happy-with-looks; brushing),decided,,
Attribute: fairness only,Sex,Q2,1=F/2=M,FCCSEX00,1=M/2=F,1,"TARGET: recode to common 0/1 (e.g. 0=male,1=female). MCS 1=M/2=F; YRBS 1=F/2=M -> align explicitly",attribute_fairness,Fairness attribute; excluded as predictor (Config 4),decided,,binary aligned
Attribute: fairness only,Age,Q1,age bands,FCMCS6AG,age 10ths yr,1,"TARGET: continuous age in years. MCS FCMCS6AG (~14, near-constant). YRBS Q1 band->midpoint years (14,15,16,17,18). Use as stratifier/covariate NOT student feature",attribute_fairness,MCS all~14 vs YRBS 14-18. Mondrian stratifier + YRBS-side covariate,decided,,continuous years
Attribute: fairness only,Ethnicity,Q4/Q5,Hispanic+race,FDCE0600,6-cat,5,TARGET: map both to common coarse set (White / Black / Asian / Mixed-Other / Hispanic-where-available). US Hispanic+race vs UK ethnic-class - document non-equivalence. FAIRNESS ONLY,attribute_fairness,Fairness attribute; excluded as predictor,decided,,harmonised coarse categories
Feature: Safety (YRBS-only),Seatbelt use,Q8,freq,none,,8,,yrbs_only,UK 14yo dont drive; MCS no seatbelt item,decided,,
Feature: Safety (YRBS-only),Rode with drinking driver,Q9,times,none,,8,,yrbs_only,No MCS vehicle item,decided,,
Feature: Safety (YRBS-only),Drove after drinking,Q10,times,none,,8,,yrbs_only,UK licence age 17; N/A at MCS age 14,decided,,
Feature: Safety (YRBS-only),Texting while driving,Q11,days,none,,8,,yrbs_only,UK 14yo dont drive,decided,,
Feature: Demo (YRBS-only),Grade,Q3,9-12,none,,8,,yrbs_only,MCS age-based (all Yr10); grade redundant w/ age,decided,,
